Date,Schl,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
4/4/15,Michigan State,Duke,L 61-81,200,22,55,0.4,15,35,0.429,7,20,0.35,10,16,0.625,61
3/17/11,Butler,Old Dominion,W 60-58,200,22,54,0.407,15,28,0.536,7,26,0.269,9,11,0.818,60
3/18/11,Indiana State,Syracuse,L 60-77,200,22,55,0.4,15,34,0.441,7,21,0.333,9,14,0.643,60
3/25/11,Ohio State,Kentucky,L 60-62,200,19,58,0.328,13,42,0.31,6,16,0.375,16,22,0.727,60
3/15/12,S Dakota St.,Baylor,L 60-68,200,21,50,0.42,11,20,0.55,10,30,0.333,8,14,0.571,60
3/16/12,Michigan,Ohio,L 60-65,200,22,54,0.407,15,31,0.484,7,23,0.304,9,11,0.818,60
3/17/12,Wisconsin,Vanderbilt,W 60-57,200,23,55,0.418,13,22,0.591,10,33,0.303,4,8,0.5,60
3/18/12,Purdue,Kansas,L 60-63,200,20,50,0.4,12,32,0.375,8,18,0.444,12,19,0.632,60
3/23/12,Kansas,NC State,W 60-57,200,24,64,0.375,23,50,0.46,1,14,0.071,11,20,0.55,60
3/23/13,California,Syracuse,L 60-66,199,22,56,0.393,18,35,0.514,4,21,0.19,12,19,0.632,60
3/20/14,Dayton,Ohio State,W 60-59,200,22,49,0.449,19,36,0.528,3,13,0.231,13,17,0.765,60
3/21/14,Nebraska,Baylor,L 60-74,200,23,54,0.426,19,33,0.576,4,21,0.19,10,16,0.625,60
3/23/14,Stanford,Kansas,W 60-57,200,21,47,0.447,21,38,0.553,0,9,0,18,26,0.692,60
3/23/14,Memphis,Virginia,L 60-78,200,24,59,0.407,21,46,0.457,3,13,0.231,9,21,0.429,60
3/23/14,Stephen F. Austin,UCLA,L 60-77,200,20,57,0.351,13,30,0.433,7,27,0.259,13,16,0.813,60
3/30/14,UConn,Michigan State,W 60-54,200,17,49,0.347,12,27,0.444,5,22,0.227,21,22,0.955,60
4/7/14,UConn,Kentucky,W 60-54,200,22,53,0.415,16,34,0.471,6,19,0.316,10,10,1,60
3/19/15,UAB,Iowa State,W 60-59,200,24,69,0.348,21,51,0.412,3,18,0.167,9,11,0.818,60
3/19/15,UCLA,SMU,W 60-59,200,20,47,0.426,10,27,0.37,10,20,0.5,10,14,0.714,60
3/20/15,Albany (NY),Oklahoma,L 60-69,200,23,61,0.377,15,36,0.417,8,25,0.32,6,10,0.6,60
3/22/15,Michigan State,Virginia,W 60-54,200,17,40,0.425,11,28,0.393,6,12,0.5,20,33,0.606,60
3/26/15,Xavier,Arizona,L 60-68,200,22,51,0.431,19,34,0.559,3,17,0.176,13,16,0.813,60
3/16/11,VCU,USC,W 59-46,200,20,59,0.339,11,35,0.314,9,24,0.375,10,15,0.667,59
3/17/11,Kentucky,Princeton,W 59-57,200,24,47,0.511,19,36,0.528,5,11,0.455,6,11,0.545,59
3/20/11,Illinois,Kansas,L 59-73,200,23,60,0.383,17,39,0.436,6,21,0.286,7,9,0.778,59
3/13/12,Western Ky.,Miss Val St,W 59-58,200,19,62,0.306,17,46,0.37,2,16,0.125,19,33,0.576,59
3/14/12,Lamar,Vermont,L 59-71,200,20,60,0.333,16,47,0.34,4,13,0.308,15,21,0.714,59
3/15/12,Loyola (MD),Ohio State,L 59-78,200,19,54,0.352,15,40,0.375,4,14,0.286,17,22,0.773,59
3/15/12,Wichita State,VCU,L 59-62,200,24,62,0.387,19,46,0.413,5,16,0.313,6,10,0.6,59
3/16/12,Belmont,Georgetown,L 59-74,200,21,54,0.389,11,27,0.407,10,27,0.37,7,11,0.636,59
3/16/12,Texas,Cincinnati,L 59-65,200,20,57,0.351,13,37,0.351,7,20,0.35,12,14,0.857,59
3/17/12,Kansas State,Syracuse,L 59-75,200,21,67,0.313,17,50,0.34,4,17,0.235,13,19,0.684,59
3/17/12,Louisville,New Mexico,W 59-56,200,22,48,0.458,15,33,0.455,7,15,0.467,8,12,0.667,59
4/2/12,Kansas,Kentucky,L 59-67,200,22,62,0.355,17,51,0.333,5,11,0.455,10,15,0.667,59
3/21/13,Marquette,Davidson,W 59-58,200,20,58,0.345,16,43,0.372,4,15,0.267,15,19,0.789,59
3/24/13,Illinois,Miami (FL),L 59-63,200,23,61,0.377,16,34,0.471,7,27,0.259,6,7,0.857,59
3/31/13,Florida,Michigan,L 59-79,200,23,56,0.411,21,46,0.457,2,10,0.2,11,17,0.647,59
3/18/14,Xavier,NC State,L 59-74,200,23,55,0.418,21,41,0.512,2,14,0.143,11,16,0.688,59
3/20/14,Ohio State,Dayton,L 59-60,200,24,50,0.48,21,38,0.553,3,12,0.25,8,12,0.667,59
3/21/14,Weber State,Arizona,L 59-68,200,16,53,0.302,9,36,0.25,7,17,0.412,20,23,0.87,59
3/21/14,Coastal Caro.,Virginia,L 59-70,200,21,50,0.42,12,31,0.387,9,19,0.474,8,14,0.571,59
3/21/14,Tulsa,UCLA,L 59-76,200,21,57,0.368,14,38,0.368,7,19,0.368,10,14,0.714,59
3/28/14,Virginia,Michigan State,L 59-61,200,20,57,0.351,14,39,0.359,6,18,0.333,13,17,0.765,59
3/19/15,Iowa State,UAB,L 59-60,200,24,65,0.369,18,42,0.429,6,23,0.261,5,7,0.714,59
3/19/15,SMU,UCLA,L 59-60,200,20,55,0.364,13,39,0.333,7,16,0.438,12,20,0.6,59
3/22/15,Maryland,West Virginia,L 59-69,200,21,44,0.477,13,25,0.52,8,19,0.421,9,13,0.692,59
3/17/11,Belmont,Wisconsin,L 58-72,200,18,49,0.367,12,27,0.444,6,22,0.273,16,22,0.727,58
3/17/11,Old Dominion,Butler,L 58-60,200,16,45,0.356,11,30,0.367,5,15,0.333,21,27,0.778,58
3/19/11,Cincinnati,UConn,L 58-69,200,22,55,0.4,18,41,0.439,4,14,0.286,10,14,0.714,58
3/13/12,Miss Val St,Western Ky.,L 58-59,200,22,61,0.361,18,39,0.462,4,22,0.182,10,22,0.455,58
3/15/12,Murray State,Colorado State,W 58-41,200,20,51,0.392,15,34,0.441,5,17,0.294,13,26,0.5,58
3/16/12,Creighton,Alabama,W 58-57,200,22,50,0.44,13,29,0.448,9,21,0.429,5,13,0.385,58
3/16/12,Vermont,UNC,L 58-77,200,25,63,0.397,22,45,0.489,3,18,0.167,5,8,0.625,58
3/16/12,South Florida,Temple,W 58-44,200,17,50,0.34,9,33,0.273,8,17,0.471,16,21,0.762,58
3/18/12,Lehigh,Xavier,L 58-70,200,21,64,0.328,18,42,0.429,3,22,0.136,13,20,0.65,58
3/22/12,Marquette,Florida,L 58-68,200,20,65,0.308,14,44,0.318,6,21,0.286,12,18,0.667,58
3/21/13,Davidson,Marquette,L 58-59,200,19,46,0.413,13,29,0.448,6,17,0.353,14,22,0.636,58
3/21/13,Southern,Gonzaga,L 58-64,200,18,46,0.391,8,23,0.348,10,23,0.435,12,18,0.667,58
3/22/13,Notre Dame,Iowa State,L 58-76,199,22,51,0.431,18,34,0.529,4,17,0.235,10,13,0.769,58
3/24/13,Indiana,Temple,W 58-52,200,19,45,0.422,15,32,0.469,4,13,0.308,16,20,0.8,58
3/24/13,UNC,Kansas,L 58-70,200,22,73,0.301,16,52,0.308,6,21,0.286,8,10,0.8,58
3/28/13,La Salle,Wichita State,L 58-72,200,20,56,0.357,13,38,0.342,7,18,0.389,11,16,0.688,58
3/21/14,Stanford,New Mexico,W 58-53,200,19,49,0.388,11,34,0.324,8,15,0.533,12,17,0.706,58
3/21/15,Ohio State,Arizona,L 58-73,200,20,52,0.385,15,35,0.429,5,17,0.294,13,15,0.867,58
3/27/15,Oklahoma,Michigan State,L 58-62,200,20,55,0.364,16,38,0.421,4,17,0.235,14,16,0.875,58
3/17/11,Princeton,Kentucky,L 57-59,200,24,52,0.462,21,38,0.553,3,14,0.214,6,7,0.857,57
3/18/11,Florida State,Texas A&M,W 57-50,200,20,43,0.465,16,28,0.571,4,15,0.267,13,20,0.65,57
3/18/11,Villanova,George Mason,L 57-61,200,19,52,0.365,12,30,0.4,7,22,0.318,12,17,0.706,57
3/20/11,Notre Dame,Florida State,L 57-71,200,19,62,0.306,12,32,0.375,7,30,0.233,12,19,0.632,57
3/25/11,Richmond,Kansas,L 57-77,200,22,65,0.338,18,39,0.462,4,26,0.154,9,12,0.75,57
3/16/12,Alabama,Creighton,L 57-58,200,22,48,0.458,15,31,0.484,7,17,0.412,6,12,0.5,57
3/17/12,Vanderbilt,Wisconsin,L 57-60,200,20,46,0.435,15,27,0.556,5,19,0.263,12,16,0.75,57
3/22/12,Louisville,Michigan State,W 57-44,200,21,55,0.382,12,32,0.375,9,23,0.391,6,11,0.545,57
3/23/12,NC State,Kansas,L 57-60,200,19,67,0.284,13,46,0.283,6,21,0.286,13,17,0.765,57
3/22/13,Illinois,Colorado,W 57-49,200,16,52,0.308,8,21,0.381,8,31,0.258,17,24,0.708,57
3/22/13,Western Ky.,Kansas,L 57-64,200,21,66,0.318,18,46,0.391,3,20,0.15,12,18,0.667,57
3/22/13,Ole Miss,Wisconsin,W 57-46,200,22,57,0.386,19,42,0.452,3,15,0.2,10,16,0.625,57
3/23/13,Saint Louis,Oregon,L 57-74,200,20,53,0.377,17,32,0.531,3,21,0.143,14,22,0.636,57
3/20/14,Cincinnati,Harvard,L 57-61,200,21,57,0.368,17,45,0.378,4,12,0.333,11,16,0.688,57
3/20/14,Michigan,Wofford,W 57-40,200,22,46,0.478,15,29,0.517,7,17,0.412,6,9,0.667,57
3/23/14,Kansas,Stanford,L 57-60,200,19,58,0.328,14,42,0.333,5,16,0.313,14,18,0.778,57
