"SOURCE","TARGET","tweet_number"
"CyndiJohnson19","YouTube",5304
"beezerboy666","YouTube",5306
"Sweetria261","YouTube",5307
"22MrUnbreakable","YouTube",5308
"OBYONETAOPY","TheCollectiveQ",5309
"OBYONETAOPY","DrJudyAMikovits",5309
"TXIrishRose07","washingtonpost",5312
"TXIrishRose07","100Brexit",5313
"truegreengirl","YouTube",5316
"vabelle2010","YouTube",5319
"GCMind","BillNeelyNBC",5320
"GCMind","Reuters",5321
"GCMind","ollybarratt",5322
"GCMind","Steven_Swinford",5323
"GCMind","LBCNews",5324
"GCMind","ollybarratt",5325
"GCMind","LaurenM0ss",5326
"1Whistleblowers","YouTube",5327
"1Whistleblowers","realDonaldTrump",5327
"1Whistleblowers","DrJudyAMikovits",5327
"1Whistleblowers","PatriotsSoapbox",5327
"B_Primee","BillGates",5331
"lisa43785992","AIDSHealthcare",5335
"lisa43785992","EGPAF",5335
"lisa43785992","CDC_HIVAIDS",5335
"Lisahenneke","BillGates",5339
"Lisahenneke","YouTube",5339
"Lisahenneke","YouTube",5340
"SarahBranch01","RepAdamSchiff",5345
"tlc2tweet","YouTube",5347
"merlintheyogin","YouTube",5350
"elainnalee","YouTube",5353
"LGideon68","YouTube",5354
"Time4ChangeCnda","YouTube",5357
"tbendbasshunter","SaraCarterDC",5358
"tbendbasshunter","JennieSTaer",5358
"ForeverGod1st","YouTube",5360
"ForeverGod1st","realDonaldTrump",5360
"ForeverGod1st","Scavino45",5360
"cjloiacono","YouTube",5361
"cjloiacono","RepDougCollins",5362
"cjloiacono","DiamondandSilk",5364
"hhhpaulhhh","YouTube",5365
"hhhpaulhhh","TheKuhnerReport",5365
"hhhpaulhhh","Brittany_J10",5365
"hhhpaulhhh","YouTube",5366
"hhhpaulhhh","TuckerCarlson",5366
"hhhpaulhhh","YouTube",5367
"hhhpaulhhh","RealJamesWoods",5367
"hhhpaulhhh","YouTube",5368
"hhhpaulhhh","realDonaldTrump",5368
"ColbyWStudios","samtripoli",5369
"ColbyWStudios","TommyG",5369
"ColbyWStudios","PrisonPlanet",5369
"ColbyWStudios","ConspiracyFarm1",5369
"sfrankling","TheCollectiveQ",5370
"andymoss67ajm","YouTube",5371
"carmen86368748","YouTube",5372
"joseocinarf","YouTube",5376
"joellachaney","YouTube",5378
"BykowskiC","GovMikeDeWine",5379
"BykowskiC","GovMikeDeWine",5380
"BykowskiC","OHNationalGuard",5380
"BykowskiC","GovMikeDeWine",5381
"sk27iu","TelanganaCMO",5382
"29aprilJoy","greggutfeld",5383
"SReneeKnowles","YouTube",5384
"BayshoreBill","YouTube",5386
"Stew_Feinstein","BorisJohnson",5388
"Stew_Feinstein","YouTube",5389
"qlactaka","POTUS",5394
"ThomasL16765780","readyletsgo27",5395
"ThomasL16765780","yogagenie",5395
"ThomasL16765780","BreitbartNews",5395
"ThomasL16765780","johncardillo",5396
"ThomasL16765780","realDonaldTrump",5396
"jimmy_scherrer","YouTube",5401
"itsthedrewprint","globalnews",5403
"itsthedrewprint","GlobalBC",5403
"Gypsea57","realDonaldTrump",5404
"donwyk","YouTube",5405
"MariMagforever","LegendaryEnergy",5407
"joseCue66953415","jamiedlux",5409
"mombom6","VivianBercovici",5411
"RitaRe05948806","Marsha250",5415
"RyanPatrickMur5","YouTube",5416
"cyndiesue67","DARPA",5421
"cyndiesue67","fluidigm",5421
"cyndiesue67","IcahnMountSinai",5421
"cyndiesue67","unmc",5421
"EurekaGrad","YouTube",5424
"brendon_slavin","YouTube",5427
"queenlolos","YouTube",5431
"Day1Success","YouTube",5438
"Jaxx_LeBonBon","YouTube",5439
"LateLateLover","YouTube",5440
"Bretticulus","YouTube",5441
"Patriotictoo","harmonyjtrout",5447
"Patriotictoo","cjtruth",5447
"Patriotictoo","washingtonpost",5447
"Baguio_kano","MrJones_tm",5450
"Baguio_kano","Baguio_kano",5450
"bcofbrave_mom","YouTube",5451
"bcofbrave_mom","realDonaldTrump",5451
"bcofbrave_mom","DrJudyAMikovits",5451
"bcofbrave_mom","PatriotsSoapbox",5451
"keithclick1","knoxnews",5455
"keithclick1","knoxnews",5456
"Technocorp","ai_jared",5457
"Technocorp","99freemind",5457
"Christo99432601","99freemind",5459
"TrellsWorld","TheBlackChannel",5460
"genevievesflynn","YouTube",5465
"ginforman","YouTube.",5466
"ginforman","realDonaldTrump",5466
"JeanJus38311236","YouTube",5473
"peacocklady09","YouTube",5475
"Tonks29988785","YouTube",5478
"BettyEyes","YouTube",5484
"harryperry15","YouTube",5491
"TheSpyglass","realDonaldTrump",5500
"TheSpyglass","DonaldJTrumpJr",5500
"TheSpyglass","IvankaTrump",5500
"TheSpyglass","RealJamesWoods",5500
"TheSpyglass","TuckerCarlson",5500
"TheSpyglass","seanhannity",5500
"TheSpyglass","kayleighmcenany",5500
"TheSpyglass","HARRISFAULKNER",5501
"MarengoAnne","YouTube",5502
"Earlgreylipton","peru21noticias",5504
"Earlgreylipton","nypost",5505
"1040bay","YouTube",5507
"rex_mundii","MrJones_tm",5511
"rex_mundii","Baguio_kano",5511
"rex_mundii","GavinNewsom",5512
"TennFloridian","POTUS",5518
"Canadia74557311","ElevatedMonkey",5520
"LAll369","YouTube",5523
"TC25008432","YouTube",5524
"alannaprtr","YouTube",5525
"tafl56","realDonaldTrump",5527
"tafl56","POTUS",5527
"tafl56","DNC",5527
"nanisboys","YouTube",5528
"Jeritud3","SteveRustad1",5529
"mercurymouth22","BreesAnna",5535
"GMO888","ScottAdamsSays",5548
"JCSJR58","YouTube",5550
