"SOURCE","TARGET","tweet_number"
"darkwolf514","OhRoyalOne",94219
"darkwolf514","Urylle",94219
"darkwolf514","Trutherbotanyo2",94219
"darkwolf514","bs_doe",94219
"darkwolf514","ActivistPost",94219
"darkwolf514","maxigan",94219
"SharonH85373577","pocothunder",94220
"SharonH85373577","HBergsjoe",94220
"LaynieMorgan","jimgitterdone",94221
"LaynieMorgan","mikepompeo",94221
"LaynieMorgan","realDonaldTrump",94221
"Flwrgirl66x","TSTINFL",94223
"Flwrgirl66x","WolfishHead",94223
"Katydid452","ChanelRion",94225
"Katydid452","OANN",94225
"Katydid452","jennfranconews",94225
"Fightfo66024043","Inevitable_ET",94226
"bugsysbak","DrButtar",94229
"queeninperusual","Photosbymo2",94230
"queeninperusual","MnEmployed",94230
"queeninperusual","RonDeSantisFL",94230
"moronmoone","Razkles",94231
"moronmoone","tezisold",94231
"moronmoone","TigerKaze",94231
"moronmoone","darkwolf514",94231
"moronmoone","AnonymousSage1",94231
"moronmoone","john_c0nner",94231
"moronmoone","cjsienna55",94231
"moronmoone","Are_you_aware_",94231
"moronmoone","Anon__Truther",94231
"moronmoone","onlyDtruths",94231
"moronmoone","ThomasHansson14",94231
"moronmoone","idonotComply",94231
"moronmoone","noblebutts",94231
"moronmoone","Fredthefish2",94231
"moronmoone","CatherineJayn11",94231
"moronmoone","jamesperloff",94231
"moronmoone","Alpha_1C",94231
"moronmoone","Boots93059615",94231
"moronmoone","USlawreview",94231
"moronmoone","AniloDiako",94231
"moronmoone","End_TheFederalR",94231
"moronmoone","Dragonsoul9Fire",94231
"moronmoone","ILLUMINATIKILL5",94231
"moronmoone","Lukewearechange",94231
"moronmoone","AngeloJohnGage",94231
"moronmoone","Know_More_News",94231
"moronmoone","Obzerver77",94231
"moronmoone","OhRoyalOne",94231
"moronmoone","Urylle",94231
"moronmoone","Trutherbotanyo2",94231
"moronmoone","bs_doe",94231
"moronmoone","ActivistPost",94231
"moronmoone","maxigan",94231
"TrueDrResistenc","BillGates",94236
"TrueDrResistenc","realDonaldTrump",94236
"gaye_gallops","DrButtar",94237
"JimPmbr0wne","Matthew_4_Trump",94240
"ScottsQuest","canucklaw1",94244
"theaussieauthor","WSJopinion",94248
"theaussieauthor","Jimcorrsays",94248
"theaussieauthor","josh_disbrow",94248
"ani_daly","Matthew_4_Trump",94250
"notpc1963","chuckwoolery",94252
"notpc1963","AnnaCat58144216",94252
"Chris24532209","charlesadler",94256
"KatherineLariel","ChelseaClinton",94265
"derEngelLuzifer","DerekSloanCPC",94268
"PhennommA","GovernorTomWolf",94270
"PhennommA","TomWolfPA",94270
"PhennommA","realDonaldTrump",94271
"PhennommA","POTUS",94271
"PhennommA","WhiteHouse",94271
"PhennommA","GovernorTomWolf",94271
"healthylaugh","615EricB",94274
"healthylaugh","TheDemocrats",94274
"ttocs35","DrButtar",94275
"Southcb007","YouTube",94276
"gtuckz","zkaram",94277
"ShariGoodman20","YouTube",94281
"ShawningArmor","PrisonPlanet",94283
"ShawningArmor","PrisonPlanet",94284
"LauraZaiko","MiskwahyaAgwamo",94286
